,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
3155,26829,79,4778,4612,1832,2056,575,103,11,5,135,2004,larceny-theft-offenses
3156,145,3,250,263,135,31,8,2,0,0,3,1996,larceny-theft-offenses
3157,1063,14,801,1164,672,405,294,43,7,1,8,2013,larceny-theft-offenses
3158,33601,263,25661,40930,22246,14088,6416,1207,251,55,282,2011,larceny-theft-offenses
3159,114255,1276,61566,83860,49414,36715,16230,3365,778,182,806,2009,larceny-theft-offenses
3160,13253,930,69872,38185,28564,18042,5498,1361,528,141,145,2001,larceny-theft-offenses
3161,130594,1254,61099,79715,51609,38913,14243,3573,915,218,1206,2006,larceny-theft-offenses
3162,33074,278,27440,31867,17749,12477,4651,810,166,51,122,2008,larceny-theft-offenses
3163,5733,63,6910,2730,1306,396,73,14,1,1,69,1995,larceny-theft-offenses
3164,105428,1050,47266,55126,38031,25298,8273,2844,672,142,734,2003,larceny-theft-offenses
3165,11538,26,2500,1735,711,501,314,12,7,0,45,1999,larceny-theft-offenses
3166,1026,12,734,980,518,411,187,34,6,5,9,2010,larceny-theft-offenses
3167,11640,134,6866,7008,4799,1611,564,322,134,23,9402,1991,larceny-theft-offenses
3168,36683,324,26282,29702,17797,12329,4081,866,253,72,254,2006,larceny-theft-offenses
3169,84187,360,26853,23953,8825,5115,2512,327,43,13,411,2010,larceny-theft-offenses
3170,29971,394,89286,135539,86558,49042,27890,6403,1205,260,190,2014,larceny-theft-offenses
3171,31227,295,26831,34398,18082,12641,5112,916,179,43,201,2009,larceny-theft-offenses
3172,126860,1218,59719,99147,60408,41050,20034,4431,1034,251,605,2011,larceny-theft-offenses
3173,712,2,476,282,199,75,18,9,3,0,14,1997,larceny-theft-offenses
3174,472,12,325,365,210,51,38,6,1,0,10,1998,larceny-theft-offenses
3175,2179,16,599,762,508,288,92,33,6,2,39,2005,larceny-theft-offenses
3176,5657,395,11512,7363,5024,1974,723,419,221,49,15735,1992,larceny-theft-offenses
3177,90,0,80,65,57,26,5,0,1,0,2,1995,larceny-theft-offenses
3178,67340,275,19157,23419,11286,4853,3081,340,55,17,459,2013,larceny-theft-offenses
3179,120301,1126,64610,81782,50385,38841,15860,3492,842,208,1115,2008,larceny-theft-offenses
3180,235,1,269,335,186,47,24,2,1,0,9,1997,larceny-theft-offenses
3181,32827,284,21080,21691,14375,8655,2395,561,108,32,92,2003,larceny-theft-offenses
3182,997,9,546,287,194,72,35,6,2,0,20,1998,larceny-theft-offenses
3183,1293,12,1025,1143,622,300,81,13,1,0,5,2005,larceny-theft-offenses
3184,32280,433,85830,138141,95321,51333,29541,7243,1225,251,84,2015,larceny-theft-offenses
