,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
1719,957,2,888,1078,633,296,186,38,5,2,3,2015,crime-against-property
1720,328,3,219,68,57,13,3,1,1,0,1019,1992,crime-against-property
1721,13,0,7,15,5,2,3,1,0,0,1,1992,crime-against-property
1722,14331,629,79535,54895,37236,29178,10329,2221,585,181,145,2005,crime-against-property
1723,2491,29,4406,5707,2256,504,121,15,5,1,52,1996,crime-against-property
1724,666,13,314,356,286,129,49,5,1,0,0,2000,crime-against-property
1725,25,0,5,90,66,41,10,2,0,0,0,2002,crime-against-property
1726,239,0,862,1487,774,322,94,29,4,0,3,1996,crime-against-property
1727,29489,91,6418,25793,23944,13431,8226,2197,474,82,187,2017,crime-against-property
1728,1601,41,12030,12030,6299,4274,1323,234,45,6,13,2008,crime-against-property
1729,449,0,608,1283,891,381,93,18,3,2,6,1999,crime-against-property
1730,0,0,0,1,0,0,0,0,0,0,0,2014,crime-against-property
1731,17517,93,6417,26262,20412,13349,6275,1515,322,78,107,2012,crime-against-property
1732,1150,14,759,878,567,412,134,28,8,0,18,2007,crime-against-property
1733,3484,793,45756,17818,14409,7639,2408,788,433,119,74,1997,crime-against-property
1734,16020,64,13337,9422,6449,2763,909,111,22,6,116,1999,crime-against-property
1735,123243,970,56025,79229,40061,21535,10333,1487,280,71,810,2012,crime-against-property
1736,117,0,109,78,65,24,12,1,0,0,2,1996,crime-against-property
1737,11522,79,10880,14952,5439,1854,554,69,10,2,84,2000,crime-against-property
1738,295,1,161,338,279,186,116,28,9,0,4,2014,crime-against-property
1739,974,4,279,475,409,265,74,23,1,0,5,2014,crime-against-property
1740,1416,13,4034,8741,4970,3209,1063,243,24,5,8,2007,crime-against-property
1741,5220,57,4394,9510,7016,2404,550,113,38,6,125,1998,crime-against-property
1742,106735,697,36285,57885,44191,19642,11512,1872,331,61,572,2017,crime-against-property
1743,62412,439,17432,19210,11497,3783,1124,419,130,13,571,1993,crime-against-property
1744,79,1,45,60,53,26,11,2,0,0,5,1998,crime-against-property
1745,106055,201,21644,24271,14857,5711,4588,468,61,15,351,2017,crime-against-property
1746,27282,213,32327,39118,12173,6053,1437,139,17,12,228,2007,crime-against-property
1747,74558,380,22684,23940,10358,5268,2467,354,47,11,400,2012,crime-against-property
