,Year,Females,Males,Unknown_Sex,Offense,unknown_age,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99
3555,1993,23,75,3,all-offenses,3,0,9,14,20,22,22,8,1,0,2
3556,2003,1262,12823,27802,all-offenses,28215,28,4927,4110,1679,1894,871,74,47,2,40
3557,1996,42,68,20,all-offenses,36,0,26,35,23,7,1,1,1,0,0
3558,2011,101,1022,10,all-offenses,24,22,289,186,256,184,99,51,15,3,4
3559,1996,4553,6806,477,all-offenses,1084,8,2492,4095,2959,884,233,43,15,0,23
3560,1993,204,443,42,all-offenses,122,0,184,235,97,34,10,2,1,0,4
3561,1998,275,531,246,all-offenses,345,5,195,213,169,85,23,6,2,0,9
3562,2009,526,274,50,all-offenses,82,0,32,240,236,167,72,20,1,0,0
3563,1993,1831,11237,10971,all-offenses,12032,15,5793,3580,1787,529,113,26,8,0,156
3564,2017,27159,44889,9825,all-offenses,16173,36,5302,22993,20321,9957,5369,1339,251,46,86
3565,2005,114,520,16,all-offenses,20,0,110,132,127,113,70,66,12,0,0
3566,2004,7092,55226,1432,all-offenses,3183,246,20469,21307,8840,6347,2385,715,203,34,21
3567,1998,10189,63912,31766,all-offenses,37386,737,29119,18633,12279,4429,2404,209,72,17,582
3568,2008,444,299,38,all-offenses,60,0,32,234,205,160,71,15,3,1,0
3569,2003,65,770,13,all-offenses,32,24,282,127,176,115,59,24,9,0,0
3570,2012,27473,37787,6562,all-offenses,10646,50,4886,24030,17521,9516,4033,832,205,41,62
3571,2002,291,1899,160,all-offenses,267,1,367,892,428,232,103,29,19,9,3
3572,2004,90,439,10,all-offenses,14,0,66,105,118,89,90,48,8,1,0
3573,2004,7408,11512,2909,all-offenses,4496,34,2186,6430,4840,2842,749,196,28,4,24
3574,1997,79,221,0,all-offenses,10,0,11,46,58,88,53,24,10,0,0
3575,2002,4323,18291,1093,all-offenses,1497,14,8285,7195,3957,2134,473,117,16,8,11
3576,2012,663,1097,1237,all-offenses,1820,9,88,364,312,233,125,31,2,2,11
3577,2013,347,923,86,all-offenses,213,1,168,359,266,182,113,45,5,2,2
3578,2013,344,1527,976,all-offenses,1183,5,378,473,404,251,135,12,4,1,1
3579,2011,1525,12065,25913,all-offenses,27382,34,2842,4702,2378,1386,601,96,20,4,58
3580,2016,431,616,87,all-offenses,161,2,49,227,243,177,159,76,36,3,1
3581,2004,12243,54419,26555,all-offenses,31247,163,19656,19597,12574,7487,1660,382,41,19,391
3582,1998,40,270,3,all-offenses,6,0,66,92,46,50,31,19,3,0,0
3583,2004,0,1,0,all-offenses,0,0,1,0,0,0,0,0,0,0,0
3584,1998,2887,27270,30364,all-offenses,33441,133,14298,6628,3463,1110,1066,36,8,8,330
3585,2017,968,1800,2133,all-offenses,3192,8,129,469,512,314,192,66,9,2,8
3586,2013,4,3,0,all-offenses,7,0,0,0,0,0,0,0,0,0,0
3587,1991,12,555,77,all-offenses,106,26,175,126,133,54,14,10,0,0,0
3588,2004,0,0,1,all-offenses,1,0,0,0,0,0,0,0,0,0,0
3589,2015,157859,461272,3881,all-offenses,6418,100,117941,247947,141513,66228,34920,7137,693,81,34
3590,1995,0,19,0,all-offenses,3,0,1,3,5,5,2,0,0,0,0
3591,2002,35125,92671,7315,all-offenses,18227,472,24326,33244,29761,19473,6765,1995,563,121,164
3592,1998,1,16,0,all-offenses,0,0,3,3,5,3,2,1,0,0,0
3593,2003,530,19505,323,all-offenses,2383,118,5087,5918,3566,2209,757,228,55,15,22
3594,2010,1048,3475,524,all-offenses,1165,9,1326,1455,621,293,142,22,3,1,10
3595,1998,6897,13096,1389,all-offenses,2972,71,2707,6412,5386,2639,818,208,51,10,108
3596,2005,86,684,5,all-offenses,12,0,229,222,112,95,61,31,13,0,0
3597,2005,7725,52271,65052,all-offenses,69838,317,20055,18000,7672,5727,1779,906,152,102,500
3598,2009,103,1341,4,all-offenses,53,18,412,231,323,217,128,44,17,2,3
3599,2000,37,131,2,all-offenses,7,1,41,68,25,16,9,2,1,0,0
3600,2001,261,4004,57,all-offenses,328,240,1706,735,682,391,149,60,20,2,9
3601,2014,144825,450984,3756,all-offenses,6248,96,119773,240728,129225,63121,33106,6484,660,60,64
3602,1997,7894,50149,21578,all-offenses,25060,463,23350,15202,9804,3327,1976,174,35,12,218
3603,1999,1557,2113,11,all-offenses,47,1,160,1106,1396,687,198,64,18,2,2
3604,2011,558,399,29,all-offenses,40,1,43,289,304,186,90,29,4,0,0
3605,1993,334,4998,312,all-offenses,621,128,1461,1165,1145,635,273,144,52,16,4
3606,1997,37,188,3,all-offenses,5,0,45,46,42,34,36,13,7,0,0
3607,2013,909,3307,428,all-offenses,894,5,1237,1401,604,278,177,27,2,4,15
3608,2007,48,131,6,all-offenses,6,1,31,67,31,26,16,4,1,1,1
3609,2008,1806,15553,28531,all-offenses,29739,55,4842,5457,2506,2426,651,140,16,4,54
3610,2004,1166,6326,2321,all-offenses,2693,343,3696,1176,804,683,291,78,24,5,20
3611,1997,2313,20560,20170,all-offenses,21780,85,11035,5480,2786,811,850,23,9,6,178
3612,1993,31,635,4,all-offenses,9,2,317,234,76,24,4,1,2,0,1
3613,2004,1711,1455,10,all-offenses,18,0,144,865,1039,794,224,63,24,5,0
3614,1999,85618,251137,5219,all-offenses,19001,2208,77950,100129,83512,42907,11665,2880,885,234,603
3615,1998,100,275,13,all-offenses,13,4,33,68,78,75,73,31,12,1,0
