,Year,Females,Males,Unknown_Sex,Offense,unknown_age,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99
3785,2002,17975,110958,63504,all-offenses,73054,907,44039,36365,20758,11170,4005,1658,92,28,361
3786,2002,63,571,4,all-offenses,13,0,172,167,80,132,49,14,10,1,0
3787,2001,22293,49366,26590,all-offenses,33711,338,19873,19778,13549,7616,2647,486,104,26,121
3788,2015,76560,241631,100457,all-offenses,115293,2864,79016,105094,60801,30999,18613,4239,1010,241,478
3789,2002,5643,43489,61400,all-offenses,63592,306,19950,13028,5680,3957,3163,595,22,5,234
3790,1998,2159,10200,592,all-offenses,853,19,5284,3524,2066,915,208,52,13,2,15
3791,2004,35444,104418,531,all-offenses,1221,18,34062,47800,29422,22482,4876,420,57,11,24
3792,2010,464,5474,75,all-offenses,261,29,2579,2066,603,300,106,41,18,5,5
3793,2011,165345,168623,6756,all-offenses,21042,443,100544,100567,55708,38445,18622,4172,857,203,121
3794,2003,4247,52468,2708,all-offenses,14451,143,13470,20238,7338,2968,653,81,12,3,66
3795,1992,12,486,8,all-offenses,20,2,242,177,44,14,2,4,1,0,0
3796,2009,893,4216,205,all-offenses,395,9,1869,990,751,662,424,162,47,2,3
3797,2001,3347,6673,1034,all-offenses,1628,7,1723,3812,2387,1138,291,48,10,1,9
3798,2001,1,4,0,all-offenses,0,0,0,0,0,4,0,0,0,0,1
3799,2001,9036,44215,26470,all-offenses,29769,88,18751,14230,9438,4749,2373,200,23,13,87
3800,2011,15,211,0,all-offenses,0,0,13,68,78,44,15,5,2,1,0
3801,2001,4560,39578,1330,all-offenses,2483,221,15483,14196,6466,4281,1623,491,152,33,39
3802,2003,1427,8878,243,all-offenses,1089,21,1317,3889,2529,1251,340,89,13,2,8
3803,2011,29731,49517,8486,all-offenses,16544,66,6355,24729,19186,13040,5944,1432,284,57,97
3804,2001,65,276,5,all-offenses,7,0,48,79,78,61,52,16,5,0,0
3805,2010,88709,205058,97947,all-offenses,123184,1213,59632,92011,54224,37853,18049,3872,922,217,537
3806,2003,8304,8183,486,all-offenses,1267,12,2665,5968,3879,2258,756,126,20,2,20
3807,1992,134,2277,23,all-offenses,113,68,608,538,567,276,145,78,31,10,0
3808,1991,663,361,119,all-offenses,143,24,147,92,101,27,13,5,5,1,585
3809,2014,471,4553,52,all-offenses,183,24,2069,1819,562,243,127,39,8,2,0
3810,2013,73046,241288,98916,all-offenses,112532,3120,82566,106761,55298,30558,17136,3348,863,195,873
3811,1991,7358,33337,13286,all-offenses,17795,162,7917,13068,9560,3535,1211,507,157,32,37
3812,1997,387,102,4,all-offenses,11,0,31,206,146,75,19,2,1,2,0
3813,2006,261,2194,122,all-offenses,246,7,518,576,460,414,246,90,17,3,0
3814,1991,43,16,18,all-offenses,18,0,0,23,16,4,1,0,1,0,14
3815,1999,18,61,9,all-offenses,10,0,11,34,11,14,6,2,0,0,0
3816,2003,544,1222,459,all-offenses,763,2,355,460,372,195,60,16,2,0,0
3817,2011,34889,193209,112159,all-offenses,129033,1022,61118,78935,37183,21490,9142,1374,289,80,591
3818,2011,184,819,8,all-offenses,10,0,265,204,105,171,142,98,14,2,0
3819,2012,15754,21291,11753,all-offenses,14522,56,4624,13851,8637,4786,1891,301,51,3,76
3820,2008,116,430,8,all-offenses,15,0,80,80,91,96,109,71,11,1,0
3821,2011,9748,62631,72648,all-offenses,77668,243,25678,23559,9562,5091,2320,375,48,15,468
3822,1993,5843,32788,771,all-offenses,1486,14,9211,15811,9578,2675,442,94,15,2,74
3823,2001,0,0,0,all-offenses,0,0,0,0,0,0,0,0,0,0,0
3824,2014,2539,28578,655,all-offenses,2035,964,8753,5735,5435,3789,2947,1269,526,164,155
3825,2005,466,211,18,all-offenses,45,1,25,187,193,127,79,29,5,0,4
3826,2002,74282,109214,3869,all-offenses,13517,905,70989,42022,30758,20472,6359,1547,535,148,113
3827,1998,412,5430,7491,all-offenses,8290,40,2465,1358,676,273,126,15,2,0,88
3828,2017,18714,26734,16239,all-offenses,20307,36,4720,15607,11961,5559,2849,509,76,14,49
3829,2015,447,4538,55,all-offenses,193,23,2046,1775,571,280,98,33,16,2,3
3830,2002,26638,33592,6036,all-offenses,10790,28,7205,22152,15926,7735,1904,322,92,20,92
3831,2012,472,3544,301,all-offenses,578,2,609,1577,752,418,231,90,34,16,10
3832,2001,953,5992,2083,all-offenses,2409,443,3538,1048,720,575,217,55,9,5,9
3833,1995,26347,97712,764,all-offenses,3675,706,30169,39905,32702,12900,3292,991,291,50,142
3834,2001,27992,101252,3916,all-offenses,13218,583,29330,40614,26381,15735,5151,1418,452,89,189
3835,2009,9083,103169,4717,all-offenses,26637,162,31563,40138,11084,5293,1656,153,20,9,254
3836,2010,79028,268343,123063,all-offenses,142861,3988,109171,113038,51112,31777,14027,2744,701,217,798
3837,2003,132,1332,90,all-offenses,167,2,271,303,296,281,169,50,9,1,5
3838,2006,996,2222,848,all-offenses,1348,15,785,900,542,328,107,26,6,2,7
3839,2017,766,4587,554,all-offenses,777,2,911,2083,1112,568,307,93,33,15,6
3840,2001,951,1315,4,all-offenses,15,1,117,670,787,451,141,50,13,1,24
3841,1995,607,280,2,all-offenses,6,0,50,338,368,92,21,12,1,1,0
3842,2004,294,4729,85,all-offenses,383,190,1950,910,806,544,215,88,15,5,2
3843,2017,15093,46684,2091,all-offenses,2832,21,11799,21696,16618,7171,3053,560,95,9,14
3844,2008,32596,51552,8260,all-offenses,16533,118,8279,26141,20057,14085,5419,1364,222,42,148
3845,2016,61,619,2,all-offenses,9,0,14,173,187,148,102,32,15,2,0
3846,2009,9674,9367,308,all-offenses,960,7,2388,6840,4498,3105,1244,250,47,5,5
3847,2008,10,104,0,all-offenses,1,0,4,42,29,22,10,6,0,0,0
3848,2015,2670,29570,799,all-offenses,2162,1086,9031,5935,5602,3968,2907,1428,546,197,177
3849,2002,212,435,243,all-offenses,346,0,60,180,133,114,51,3,2,0,1
3850,2012,10565,36486,1084,all-offenses,1624,29,10939,17913,9791,5328,2048,386,61,8,8
3851,2009,2366,14253,265,all-offenses,1684,9,2144,6207,3708,2159,781,141,20,13,18
3852,2006,7945,103278,4174,all-offenses,27109,264,29760,38425,12243,5973,1324,145,25,13,116
3853,2005,1662,14819,34429,all-offenses,35250,39,5163,5282,2051,2250,654,126,14,15,66
3854,1991,68,76,14,all-offenses,29,0,13,25,19,13,4,0,0,0,55
3855,1998,432,134,5,all-offenses,15,0,29,251,185,64,18,8,1,0,0
3856,2009,1174,2325,616,all-offenses,1022,14,865,959,629,395,187,31,3,1,9
3857,2008,30029,181789,94220,all-offenses,112165,1019,67807,64733,30598,20589,7117,972,221,39,778
3858,1995,48,492,15,all-offenses,30,20,156,133,117,59,28,6,5,1,0
3859,1991,6674,4607,15987,all-offenses,16671,9,1566,1526,1045,278,66,33,13,1,6060
3860,2011,202,635,12,all-offenses,25,0,77,139,149,184,163,91,20,1,0
3861,2008,8614,61455,71525,all-offenses,77190,255,26511,19677,8212,6891,2119,185,36,21,497
3862,1997,389,4688,6079,all-offenses,6433,32,2192,1450,622,219,133,20,3,0,52
3863,2008,130,856,6,all-offenses,24,0,315,261,142,99,83,51,15,1,1
3864,2012,64948,162489,5449,all-offenses,18885,538,34071,64375,50025,37091,20203,5702,1493,356,147
3865,2013,96291,216670,97761,all-offenses,119614,1033,53253,99662,65942,41138,22930,5010,1137,255,748
3866,2006,2151,13370,270,all-offenses,1755,18,1932,5870,3439,1993,597,150,24,7,6
3867,1991,2197,2847,687,all-offenses,732,10,1001,1062,603,269,87,42,11,1,1913
3868,1995,4289,11166,2605,all-offenses,3745,94,5535,4394,2866,983,241,70,23,8,101
3869,2017,60732,155795,5820,all-offenses,16973,478,30980,57919,52245,32626,21947,6954,1733,354,138
3870,1991,135,125,1,all-offenses,7,0,2,31,40,38,32,9,3,0,99
3871,2006,11574,10427,488,all-offenses,1411,17,3784,8096,4770,3110,1074,199,16,2,10
3872,1999,12393,43631,158,all-offenses,443,20,17139,18085,13001,6405,949,110,18,4,8
3873,2016,107,260,8,all-offenses,8,2,63,127,79,43,37,10,3,1,2
3874,1994,10,47,0,all-offenses,1,0,16,20,12,5,3,0,0,0,0
3875,2005,103,1136,3,all-offenses,44,19,417,170,259,192,96,35,9,0,1
3876,2009,9761,65806,80297,all-offenses,83957,348,27634,23742,9400,7363,2675,219,46,15,465
3877,2010,6455,4035,21,all-offenses,181,2,450,3260,2915,2509,906,222,56,10,0
3878,2014,14022,18877,9987,all-offenses,11793,76,2601,11368,8690,4991,2652,492,94,15,114
3879,2007,464,3610,239,all-offenses,509,7,922,1585,600,416,198,53,11,7,5
3880,2009,146,1141,8,all-offenses,14,0,381,355,178,157,119,77,12,2,0
3881,2014,1,6,1,all-offenses,1,0,2,1,0,0,4,0,0,0,0
3882,1996,8062,24929,1751,all-offenses,4055,92,6834,9108,8394,4096,1527,423,129,16,68
3883,2006,30414,50310,10071,all-offenses,18048,91,7603,25023,19824,13981,4640,1055,264,61,205
3884,2014,15036,52396,27980,all-offenses,32057,128,14106,22139,15269,7515,3428,532,100,17,121
3885,2000,2865,13029,799,all-offenses,1054,22,6494,4608,2699,1419,283,66,12,2,34
3886,2003,99,306,10,all-offenses,13,0,43,81,60,87,70,43,16,2,0
3887,2006,8,105,0,all-offenses,0,0,5,32,36,28,10,1,1,0,0
3888,2010,240847,567424,8651,all-offenses,34458,2922,174898,260255,163745,115619,49672,11375,2854,797,327
3889,2000,229,1599,160,all-offenses,269,7,350,702,331,191,86,27,18,3,4
3890,1997,18,293,0,all-offenses,7,6,96,51,88,44,12,3,2,0,2
3891,2008,1123,2249,694,all-offenses,1122,17,766,1015,542,378,175,31,5,2,13
3892,2014,11642,79631,3303,all-offenses,5793,284,19251,35728,17621,8697,5020,1667,396,93,26
3893,2016,187918,229120,10183,all-offenses,35758,717,74458,128296,98035,51185,29669,7428,1280,227,168
3894,1994,21545,38245,2293,all-offenses,4532,660,25296,13736,11035,4405,1284,625,327,103,80
3895,2007,7620,29884,967,all-offenses,1606,37,11568,12287,6812,4539,1333,223,42,7,17
3896,2009,32656,191082,103054,all-offenses,120571,1164,67402,73524,32426,21063,8453,1078,198,36,877
3897,2014,96,367,12,all-offenses,18,0,46,66,66,105,95,62,16,1,0
3898,1995,8118,42616,11611,all-offenses,14289,1308,24293,12163,6752,2411,586,171,74,16,282
3899,1996,958,5490,370,all-offenses,617,19,3110,1697,936,333,75,18,6,1,6
3900,2009,30123,49636,8011,all-offenses,15892,73,7518,24398,19210,13364,5561,1343,249,65,97
3901,1997,155,7439,92,all-offenses,674,59,1975,2322,1623,663,263,68,16,6,17
3902,2008,11694,10845,460,all-offenses,1215,6,3645,8418,4855,3349,1205,276,25,3,2
3903,2000,26722,76341,7066,all-offenses,18129,421,20298,25649,24095,14309,4942,1526,433,82,245
3904,1992,298,185,9,all-offenses,40,0,46,112,35,11,4,2,3,0,239
3905,2001,166,2871,22,all-offenses,107,4,1231,1257,293,123,22,11,3,0,8
3906,2009,16,135,0,all-offenses,1,0,6,53,39,30,17,3,1,1,0
3907,2015,1516,5873,2152,all-offenses,2436,265,2562,1596,1235,693,559,144,34,5,12
3908,2006,8064,57436,71813,all-offenses,78244,325,21615,19420,7754,5970,2302,900,170,53,560
3909,2015,2079,2116,28,all-offenses,85,0,251,1652,1110,634,355,104,24,7,1
3910,2015,44618,150417,7387,all-offenses,18969,391,26851,65722,43976,25175,15581,4337,1026,217,177
3911,2010,38164,74948,25458,all-offenses,33456,303,26445,37861,20095,13199,5662,1068,211,59,211
3912,1992,11762,6397,2498,all-offenses,3291,5,2877,1866,1202,313,98,27,14,3,10961
3913,2006,115,894,3,all-offenses,13,1,287,291,194,109,64,42,9,2,0
3914,2008,2211,13884,264,all-offenses,1668,8,2251,6079,3480,1994,696,140,32,3,8
3915,2011,928,4890,246,all-offenses,439,17,2290,1171,835,697,393,177,35,6,4
3916,2007,65180,159622,7456,all-offenses,24597,544,42164,62000,46639,36663,14168,3836,1075,243,329
3917,2005,745,25100,440,all-offenses,3237,153,6238,7736,4634,2875,1002,289,77,14,30
3918,2006,28713,169927,92021,all-offenses,108739,1140,61218,59241,30336,20640,6720,1548,305,53,721
3919,1999,186,1407,1206,all-offenses,1259,8,582,497,245,129,57,15,1,0,6
3920,1992,3902,3115,460,all-offenses,594,15,1224,1108,583,252,92,37,11,3,3558
3921,1993,28,736,6,all-offenses,38,34,239,190,174,57,24,12,2,0,0
3922,1999,65,260,16,all-offenses,50,0,87,70,80,36,11,5,1,1,0
3923,2010,252,2645,82,all-offenses,244,92,761,672,511,398,190,81,21,7,2
3924,2014,13,11,18,all-offenses,20,0,0,4,7,8,2,1,0,0,0
3925,2008,8747,107653,4673,all-offenses,27933,176,34157,39809,11472,5610,1497,147,25,14,233
3926,1992,175,61,0,all-offenses,0,0,3,21,20,17,14,5,2,0,154
3927,1996,103,659,33,all-offenses,44,0,179,284,151,87,27,14,8,1,0
3928,2001,1132,16967,393,all-offenses,1424,640,5830,3196,3326,2242,1050,504,204,46,30
3929,2014,1364,6241,1969,all-offenses,2287,249,2855,1602,1130,713,564,128,26,11,9
3930,2013,43236,82506,24297,all-offenses,31659,308,23691,43733,26092,14361,7918,1533,301,68,375
3931,1991,4,259,31,all-offenses,37,0,123,105,20,7,1,1,0,0,0
3932,2009,261,796,15,all-offenses,24,1,84,176,204,237,201,119,22,4,0
3933,2003,6113,45236,59193,all-offenses,64226,180,19340,13330,6202,4018,1433,1315,89,4,405
3934,2014,43027,143838,6762,all-offenses,17675,420,26478,63741,40618,24656,14812,3924,952,240,111
3935,2014,2442,1945,45,all-offenses,91,0,198,1694,1255,647,375,122,42,6,2
3936,1995,13363,43413,8547,all-offenses,13878,455,17142,16630,11410,4082,1127,334,101,14,150
3937,1996,1268,1798,153,all-offenses,361,1,809,1084,650,208,84,10,4,0,8
3938,2003,72,549,9,all-offenses,19,0,122,171,123,104,55,28,8,0,0
3939,2003,19614,118143,66531,all-offenses,78998,817,45031,39243,21842,12836,3352,1538,219,23,389
3940,2011,1142,2093,761,all-offenses,986,18,734,1069,559,377,198,33,3,2,17
3941,2013,283,2668,88,all-offenses,261,85,685,692,560,387,249,78,36,4,2
3942,1998,27,291,6,all-offenses,25,11,87,53,72,50,16,4,6,0,0
3943,2002,25,131,3,all-offenses,4,0,36,49,28,26,4,5,5,1,1
3944,1991,58,1206,63,all-offenses,127,30,350,286,252,126,90,47,14,4,1
3945,2004,77659,302954,2432,all-offenses,6308,107,101221,146317,69230,46715,11186,1570,208,26,157
3946,2015,485,648,1083,all-offenses,1187,1,51,379,342,164,80,10,2,0,0
3947,2011,9141,9768,308,all-offenses,910,1,2079,7242,4413,2913,1313,289,53,3,1
3948,2000,4844,6574,2066,all-offenses,3119,8,2350,4022,2602,990,292,62,5,1,33
3949,1992,1075,644,195,all-offenses,228,52,322,124,118,56,13,7,1,0,993
3950,2015,14241,19711,15691,all-offenses,17722,78,2463,11479,9294,4961,2916,525,78,14,113
3951,2016,27371,43230,8565,all-offenses,14199,99,4830,23601,20183,9647,4986,1243,252,59,67
3952,1994,3425,5443,1021,all-offenses,1647,10,1925,3266,2247,622,102,30,5,0,35
3953,1998,271,10395,143,all-offenses,1115,86,2862,3144,2136,979,304,95,34,1,53
3954,2013,5354,3108,20,all-offenses,51,1,471,3022,2344,1556,780,190,56,11,0
3955,2003,20557,35283,5768,all-offenses,11511,57,5790,17045,14447,8828,2830,823,147,22,108
3956,2011,2457,13731,242,all-offenses,1533,6,1725,5957,3969,2149,851,187,32,7,14
3957,1992,9830,42336,4528,all-offenses,8336,254,11240,17609,12014,4725,1605,633,210,43,25
3958,2015,17353,58825,33206,all-offenses,38251,127,16027,24667,17457,8175,3878,541,109,15,137
3959,1992,55,71,26,all-offenses,26,0,3,51,35,23,6,1,2,0,5
3960,2003,6,64,0,all-offenses,2,1,5,14,25,15,1,3,4,0,0
3961,2006,96,458,7,all-offenses,21,0,99,94,100,92,84,59,10,1,1
3962,2015,0,24,0,all-offenses,0,0,17,4,2,0,1,0,0,0,0
3963,2015,12833,87183,4674,all-offenses,7531,261,20339,39523,20012,9280,5466,1756,422,77,23
3964,2017,1113,1758,244,all-offenses,379,6,200,674,702,466,348,240,84,14,2
3965,1999,243,1141,339,all-offenses,568,7,377,369,237,112,32,8,7,3,3
3966,2007,14257,18084,9965,all-offenses,12821,50,4985,11461,7032,4414,1238,181,31,7,86
3967,2008,559,3200,147,all-offenses,336,8,1218,769,662,485,271,130,20,5,2
3968,2016,960,1949,2012,all-offenses,3225,6,116,443,520,301,226,57,14,1,12
3969,1994,27,51,10,all-offenses,18,0,17,22,19,12,0,0,0,0,0
3970,2013,231457,522067,7356,all-offenses,28373,2684,139144,242731,163357,107252,58109,14285,3517,1018,410
3971,2015,76,282,10,all-offenses,15,0,41,84,63,54,63,36,10,2,0
3972,2011,8997,95289,4895,all-offenses,26204,135,26921,37792,11153,4958,1643,218,22,8,127
3973,1998,18041,66417,2379,all-offenses,6816,505,21802,25606,18393,9473,2803,903,306,71,159
3974,1996,9717,53155,21518,all-offenses,24923,1656,29333,13415,7612,2782,4045,226,82,29,287
3975,1992,44,4360,172,all-offenses,561,15,938,1534,1043,347,92,32,7,2,5
3976,2017,342,3315,144,all-offenses,422,87,941,759,652,437,335,101,48,11,8
3977,1997,709,1355,91,all-offenses,206,3,439,766,455,212,52,9,2,1,10
3978,2004,80,305,1,all-offenses,7,0,26,84,67,59,91,46,6,0,0
3979,2005,8246,65944,1684,all-offenses,3378,206,24727,26705,10067,6996,2739,793,193,51,19
3980,1998,555,516,6,all-offenses,15,1,61,295,434,172,61,25,9,2,2
3981,2005,100,450,15,all-offenses,18,0,120,109,83,94,89,45,7,0,0
3982,1998,617,3655,1060,all-offenses,1253,318,2234,563,466,296,138,30,10,1,23
3983,1997,4364,20598,6858,all-offenses,8316,29,10617,6488,4319,1439,442,43,10,2,115
3984,1999,45025,69481,1957,all-offenses,6431,813,51589,23302,18167,10993,3441,1020,495,107,105
3985,2012,301,2888,119,all-offenses,307,91,773,772,577,411,240,102,27,6,2
3986,2016,111,197,112,all-offenses,160,0,35,80,87,30,20,6,1,0,1
3987,2014,72,656,3,all-offenses,14,15,199,119,156,113,63,31,15,6,0
3988,1995,5369,18034,967,all-offenses,2435,54,4742,6679,6128,2904,927,323,104,16,58
3989,2005,9083,13097,3759,all-offenses,5547,36,2345,7771,5526,3429,1006,209,30,7,33
3990,1991,7739,2046,5070,all-offenses,5506,3,853,530,269,52,11,4,1,0,7626
3991,2017,40311,71392,26484,all-offenses,35047,239,17201,33118,27435,13701,8825,1972,380,97,172
3992,1997,1691,16363,411,all-offenses,795,85,7214,4952,2928,1625,589,179,75,12,11
3993,2005,0,0,0,all-offenses,0,0,0,0,0,0,0,0,0,0,0
3994,2012,43499,83361,26093,all-offenses,34098,324,25664,43643,24775,15145,7305,1382,272,54,291
3995,1997,57,177,1,all-offenses,1,0,9,47,52,77,38,9,2,0,0
3996,2009,105605,399317,2891,all-offenses,6405,103,127562,202580,89773,54888,22402,3571,421,52,56
3997,2005,14981,64728,45803,all-offenses,50743,224,22681,24222,15242,9362,2202,486,72,24,254
3998,2002,35,96,6,all-offenses,15,0,21,39,22,30,8,2,0,0,0
3999,2016,342,1277,793,all-offenses,943,10,216,360,414,343,87,29,6,1,3
4000,1993,13,92,18,all-offenses,24,0,16,23,28,21,7,2,1,0,1
4001,1994,76,737,432,all-offenses,483,2,362,241,108,36,9,3,1,0,0
4002,1995,70,529,22,all-offenses,32,1,137,214,135,62,21,11,6,2,0
4003,2016,754,1400,337,all-offenses,782,1,244,618,366,258,159,55,6,0,2
4004,1994,24,114,22,all-offenses,38,0,39,28,30,19,5,1,0,0,0
4005,2014,954,28241,836,all-offenses,3517,155,6705,8165,5300,3377,2036,544,142,19,71
4006,2013,1,1,0,all-offenses,0,0,0,0,0,1,1,0,0,0,0
4007,2011,422,6971,108,all-offenses,524,257,2561,1477,1144,840,481,157,49,7,4
4008,2012,245013,555196,8070,all-offenses,31753,2702,154687,258733,168721,115700,57547,13721,3413,961,341
4009,2005,0,1,2,all-offenses,1,0,0,1,0,1,0,0,0,0,0
4010,2017,257092,549359,9029,all-offenses,30511,2844,138223,242422,192801,111063,69401,20921,5277,1573,444
4011,2001,196,55,6,all-offenses,18,0,6,60,93,50,15,15,0,0,0
4012,2000,34541,150692,100209,all-offenses,109943,4028,74884,46416,25609,14810,6118,2768,375,73,418
4013,1992,6,104,0,all-offenses,4,3,28,18,31,15,6,4,1,0,0
4014,2012,5807,3511,28,all-offenses,66,1,569,3259,2448,1871,851,215,56,9,1
4015,2006,97968,375934,2940,all-offenses,6378,130,123471,186182,82092,58457,17421,2308,278,33,92
4016,2007,75625,284510,139537,all-offenses,162125,4678,132388,104104,47200,33801,11222,2148,624,169,1213
4017,1995,744,4072,139,all-offenses,285,13,2331,1264,758,236,48,15,2,0,3
4018,2017,4420,3711,68,all-offenses,121,1,372,2812,2283,1437,814,288,60,10,1
4019,1997,482,2838,686,all-offenses,865,228,1730,477,361,207,98,13,4,2,21
4020,2004,6763,47962,56661,all-offenses,61185,245,19000,15584,6983,5015,1431,1068,21,26,828
4021,1993,56,104,115,all-offenses,135,0,39,49,32,16,2,0,0,0,2
4022,1998,0,1,0,all-offenses,0,0,0,0,1,0,0,0,0,0,0
4023,2015,1072,30970,1054,all-offenses,3944,185,7480,8818,5824,3676,2267,633,154,28,87
4024,2004,54,655,3,all-offenses,13,0,162,215,131,94,58,35,4,0,0
4025,1998,5576,26420,9633,all-offenses,12161,61,12497,8292,5753,1993,576,72,17,5,202
4026,1997,15379,55887,1474,all-offenses,4628,404,18717,21848,15874,7720,2403,775,214,49,108
4027,2002,25217,81536,293,all-offenses,657,28,29763,35675,22866,14955,2765,276,46,5,10
4028,1997,221,237,1,all-offenses,2,0,22,157,166,75,28,7,2,0,0
4029,1991,18,10,0,all-offenses,3,0,0,9,8,3,0,0,0,0,5
4030,1998,911,2045,135,all-offenses,317,4,596,1085,696,312,65,10,4,0,2
4031,1995,819,1263,103,all-offenses,275,2,539,735,446,129,34,6,1,0,18
4032,1998,42,157,1,all-offenses,2,0,15,51,39,40,36,9,7,1,0
4033,1996,16742,54835,15638,all-offenses,22413,474,21708,20163,14055,5287,2223,495,162,34,201
4034,2005,1421,7362,2939,all-offenses,3179,301,4426,1473,1077,828,297,93,22,3,23
4035,2003,63527,262522,2257,all-offenses,5345,76,90125,124510,59583,38523,8644,1187,197,19,97
4036,2004,23213,132606,70176,all-offenses,82610,928,48312,45704,25399,15815,4295,1795,128,38,971
4037,2005,40881,143729,5933,all-offenses,18814,614,42136,59281,34415,23847,8350,2132,641,142,171
4038,1998,2243,22013,540,all-offenses,967,120,9187,7079,3921,2235,881,270,82,17,37
4039,2005,2172,1632,9,all-offenses,36,1,158,1035,1336,914,242,70,17,2,2
4040,2004,24846,41143,7156,all-offenses,13842,69,6548,19806,17334,10915,3526,833,140,32,100
4041,2008,366,5666,88,all-offenses,464,211,2203,1211,895,654,319,116,31,4,12
4042,2016,1009,2863,539,all-offenses,1041,15,825,1217,738,309,206,35,7,8,10
4043,1994,87,787,89,all-offenses,203,3,252,345,139,17,3,1,0,0,0
4044,2004,6,69,0,all-offenses,0,0,1,25,30,11,4,4,0,0,0
4045,2007,84731,199492,95949,all-offenses,124527,1491,63656,80329,51033,39630,14395,3068,868,215,960
4046,1999,85,193,53,all-offenses,70,0,61,71,80,40,7,1,0,0,1
4047,1993,1018,15174,1769,all-offenses,4422,23,4050,6528,2427,384,66,8,2,0,51
4048,1993,397,467,12,all-offenses,73,0,121,353,216,71,22,8,1,0,11
4049,1999,13247,18927,4200,all-offenses,7010,50,5492,11243,8029,3427,869,120,54,7,73
4050,2015,80,690,6,all-offenses,13,25,204,124,175,130,61,27,10,5,2
4051,2001,883,9276,21203,all-offenses,19747,33,3822,2847,1146,1476,2206,56,8,5,16
4052,1993,210,1842,181,all-offenses,398,1,265,845,519,157,37,8,2,0,1
4053,2000,47056,128184,70090,all-offenses,91743,1025,46321,47112,32111,17752,6850,1497,424,100,395
4054,1993,1,12,0,all-offenses,0,0,1,7,3,2,0,0,0,0,0
4055,2010,14752,19324,12863,all-offenses,15692,52,4566,12720,7644,4351,1602,216,31,6,59
4056,2013,11075,36759,1038,all-offenses,1510,28,10006,18441,10892,5362,2171,377,67,2,16
4057,2002,171,448,31,all-offenses,84,3,135,138,165,86,28,10,1,0,0
4058,2002,267,2253,2332,all-offenses,2493,11,882,691,390,254,95,30,3,0,3
4059,1993,1093,2764,67,all-offenses,292,1,471,1385,1075,430,142,36,6,0,86
4060,2004,5184,62084,2907,all-offenses,17234,190,15667,22971,8850,4132,912,102,16,1,100
4061,1992,16,4,0,all-offenses,1,0,0,4,7,3,1,0,0,0,4
4062,2001,41,440,13,all-offenses,25,7,164,52,121,82,28,9,5,0,1
4063,2009,361,6133,127,all-offenses,502,196,2238,1347,991,772,403,127,28,9,8
4064,2015,1424,7876,16547,all-offenses,17653,27,1036,3001,2268,1029,672,109,18,3,31
4065,2004,9589,8851,472,all-offenses,1375,9,2843,6771,4257,2667,812,139,22,3,14
4066,2013,502,3420,281,all-offenses,537,0,553,1592,710,415,263,91,22,14,6
4067,2004,1786,11185,263,all-offenses,1563,20,1712,4603,3011,1724,459,102,31,2,7
4068,2001,431,17114,240,all-offenses,2017,113,4730,5115,3185,1749,613,176,51,10,26
4069,2017,98504,204768,104743,all-offenses,130154,958,45316,86099,72475,38931,25657,6300,1297,267,561
4070,1993,14,97,5,all-offenses,9,0,27,22,25,17,9,6,1,0,0
4071,2004,718,1396,529,all-offenses,881,4,452,569,416,224,67,18,6,1,5
4072,1997,57,1107,4,all-offenses,26,4,556,419,111,34,14,2,0,0,2
4073,1993,1243,12118,26841,all-offenses,27993,61,6664,3312,1572,298,74,13,1,1,213
4074,2011,116743,411885,4042,all-offenses,6938,77,127175,212685,98742,56084,25722,4675,463,54,55
4075,2014,782,475,36,all-offenses,54,3,22,359,412,226,155,50,9,1,2
4076,2005,1710,24239,435,all-offenses,1902,841,7967,4834,4436,3477,1734,795,291,77,30
4077,2012,97083,223775,102172,all-offenses,126428,1221,58186,102498,63994,41600,22179,4891,1090,263,680
4078,2013,62410,155446,5060,all-offenses,17537,570,31297,60845,49126,34989,20957,5690,1449,291,165
4079,2005,329,4940,25,all-offenses,230,40,2236,1860,550,246,87,28,13,1,3
4080,2016,136,301,6,all-offenses,14,0,37,139,123,76,40,11,2,1,0
4081,1994,6,29,3,all-offenses,2,0,5,13,10,4,3,1,0,0,0
4082,2006,331,5926,101,all-offenses,495,256,2305,1237,958,676,287,100,30,7,7
4083,1997,506,7640,138,all-offenses,541,290,2504,1461,1733,921,467,218,113,21,15
4084,1993,4450,31596,32338,all-offenses,35391,314,13559,10485,6030,1525,376,87,22,9,586
4085,2010,67945,163406,6080,all-offenses,21577,472,37947,66215,49779,37565,17489,4691,1201,306,189
4086,1991,46,3307,674,all-offenses,1060,11,691,1118,811,221,83,17,8,1,6
4087,2002,579,1930,492,all-offenses,929,11,610,767,453,168,54,4,1,0,4
4088,2004,204,1606,76,all-offenses,143,2,365,398,433,339,149,46,10,1,0
4089,2007,226,2753,53,all-offenses,274,107,752,710,540,358,189,64,31,2,5
4090,2000,20064,44069,26125,all-offenses,32259,309,19195,17150,11862,6500,2255,432,95,26,175
4091,2015,586,374,30,all-offenses,47,0,22,265,310,177,123,32,13,0,1
4092,1996,789,369,3,all-offenses,7,0,56,426,476,144,39,11,1,1,0
4093,1992,14533,3018,3633,all-offenses,3998,34,1584,738,332,58,24,3,2,0,14411
